context,action,date
MAIN,help,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,help,2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,add,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,delete,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,add,2022-05-04
SUPPLIERS,add,2022-05-04
SUPPLIERS,add,2022-05-04
SUPPLIERS,add,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,get,2022-05-04
SUPPLIERS,get,2022-05-04
SUPPLIERS,exit,2022-05-04
MAIN,stop,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,exit,2022-05-04
MAIN,stop,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,delete,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,delete,2022-05-04
MAIN,help,2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,help,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,get,2022-05-04
SUPPLIERS,update,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,update,2022-05-04
SUPPLIERS,"get all",2022-05-04
SUPPLIERS,exit,2022-05-04
MAIN,products,2022-05-04
PRODUCTS,add,2022-05-04
MAIN,categories,2022-05-04
CATEGORIES,"get all",2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,add,2022-05-04
CATEGORIES,"get all",2022-05-04
MAIN,categories,2022-05-04
CATEGORIES,"get all",2022-05-04
CATEGORIES,get,2022-05-04
CATEGORIES,update,2022-05-04
CATEGORIES,get,2022-05-04
CATEGORIES,exit,2022-05-04
MAIN,products,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,add,2022-05-04
MAIN,products,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,"get all",2022-05-04
MAIN,products,2022-05-04
PRODUCTS,add,2022-05-04
MAIN,products,2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,"get all",2022-05-04
MAIN,products,2022-05-04
PRODUCTS,"get all",2022-05-04
PRODUCTS,add,2022-05-04
MAIN,products,2022-05-04
PRODUCTS,"get all",2022-05-04
PRODUCTS,add,2022-05-04
PRODUCTS,"get all",2022-05-04
PRODUCTS,update,2022-05-04
PRODUCTS,"get all",2022-05-04
PRODUCTS,exit,2022-05-04
MAIN,stop,2022-05-04
MAIN,categories,2022-05-04
CATEGORIES,"get products",2022-05-04
CATEGORIES,"get products",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"add ps",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"add ps",2022-05-04
SUPPLIERS,"add ps",2022-05-04
SUPPLIERS,"add ps",2022-05-04
SUPPLIERS,"add ps",2022-05-04
SUPPLIERS,"add ps",2022-05-04
SUPPLIERS,"add ps",2022-05-04
SUPPLIERS,exit,2022-05-04
MAIN,batches,2022-05-04
BATCHES,add,2022-05-04
BATCHES,add,2022-05-04
BATCHES,add,2022-05-04
BATCHES,add,2022-05-04
BATCHES,add,2022-05-04
BATCHES,"get all",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all",2022-05-04
BATCHES,add,2022-05-04
MAIN,batches,2022-05-04
BATCHES,add,2022-05-04
BATCHES,"get all",2022-05-04
MAIN,batches,2022-05-04
BATCHES,help,2022-05-04
BATCHES,"get prices",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get prices",2022-05-04
BATCHES,"get prices",2022-05-04
BATCHES,"get total prices",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get total prices",2022-05-04
BATCHES,"get all exp",2022-05-04
BATCHES,exit,2022-05-04
MAIN,"pass day",2022-05-04
MAIN,"pass day",2022-05-04
MAIN,"pass day",2022-05-04
MAIN,"pass day",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all exp",2022-05-04
BATCHES,"get exp",2022-05-04
BATCHES,"get exp",2022-05-04
BATCHES,"get all",2022-05-04
BATCHES,"get exp",2022-05-04
BATCHES,"get all exp",2022-05-04
BATCHES,"get all",2022-05-04
BATCHES,"get products",2022-05-04
BATCHES,"get products",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all exp",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all exp",2022-05-04
BATCHES,"get exp",2022-05-04
BATCHES,exit,2022-05-04
MAIN,"pass day",2022-05-04
MAIN,"pass day",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all exp",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get products",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get products",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get products",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get products",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get products",2022-05-04
MAIN,suppliers,2022-05-04
SUPPLIERS,"get products",2022-05-04
SUPPLIERS,"get products with price",2022-05-04
SUPPLIERS,exit,2022-05-04
MAIN,stop,2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all exp",2022-05-04
MAIN,batches,2022-05-04
BATCHES,"get all exp",2022-05-04
BATCHES,help,2022-05-04
BATCHES,"get products",2022-05-04
BATCHES,exit,2022-05-04
MAIN,help,2022-05-05
MAIN,help,2022-05-05
MAIN,help,2022-05-05
MAIN,help,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,categories,2022-05-05
CATEGORIES,help,2022-05-05
CATEGORIES,"get all",2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,batches,2022-05-05
BATCHES,help,2022-05-05
BATCHES,"get products",2022-05-05
BATCHES,exit,2022-05-05
MAIN,help,2022-05-05
MAIN,exit,2022-05-05
MAIN,help,2022-05-05
CATEGORIES,"get all",2022-05-05
CATEGORIES,help,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,suppliers,2022-05-05
SUPPLIERS,help,2022-05-05
MAIN,suppliers,2022-05-05
SUPPLIERS,help,2022-05-05
MAIN,suppliers,2022-05-05
SUPPLIERS,help,2022-05-05
SUPPLIERS,exit,2022-05-05
MAIN,batches,2022-05-05
BATCHES,help,2022-05-05
BATCHES,exit,2022-05-05
MAIN,help,2022-05-05
CATEGORIES,help,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,help,2022-05-05
PRODUCTS,help,2022-05-05
MAIN,help,2022-05-05
PRODUCTS,help,2022-05-05
PRODUCTS,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,help,2022-05-05
MAIN,categories,2022-05-05
CATEGORIES,help,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,categories,2022-05-05
CATEGORIES,get,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,help,2022-05-05
MAIN,help,2022-05-05
MAIN,categories,2022-05-05
MAIN,categories,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,suppliers,2022-05-05
MAIN,suppliers,2022-05-05
SUPPLIERS,update,2022-05-05
SUPPLIERS,exit,2022-05-05
MAIN,batches,2022-05-05
MAIN,batches,2022-05-05
MAIN,batches,2022-05-05
MAIN,batches,2022-05-05
BATCHES,"get all prices",2022-05-05
BATCHES,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,help,2022-05-05
MAIN,categories,2022-05-05
CATEGORIES,exit,2022-05-05
MAIN,"pass day",2022-05-05
MAIN,"pass day",2022-05-05
MAIN,batches,2022-05-05
BATCHES,"get exp",2022-05-05
BATCHES,get,2022-05-05
BATCHES,"get exp",2022-05-05
BATCHES,exit,2022-05-05
MAIN,"pass day",2022-05-05
MAIN,batches,2022-05-05
BATCHES,"get all exp",2022-05-05
BATCHES,exit,2022-05-05
MAIN,exit,2022-05-05
MAIN,batches,2022-05-05
BATCHES,"get all exp",2022-05-05
BATCHES,exit,2022-05-05
MAIN,"pass day",2022-05-05
MAIN,batches,2022-05-05
BATCHES,"get all exp",2022-05-05
BATCHES,exit,2022-05-05
MAIN,"pass day",2022-05-05
MAIN,batches,2022-05-05
BATCHES,"get all exp",2022-05-05
BATCHES,exit,2022-05-05
MAIN,exit,2022-05-05
